game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
NEW X WBA 2015-05-09;213 (73%);357 (81%);26;13;40%;60%;2;3;2;7;1;0;71;73;0;0;3;2;2;0;2;0;292;440;;;8;8;3;7;3;5;0;7;8;15;3;2;1;2015-05-09;-4.0;5.0;40.0;27.0;18.0;12.0;8.0;3.0;3.0;8.0;11.0;-11.0;7.0;10.0;39.0;31.0;21.0;15.0;19.0;19.0;11.0;21.0;-10.0;18.0;40.0;-30.0;-38.0;31.0;13.0;11.0;19.0;-15.0;46.0;32.0;35.0;30.0;97.0;59.0;37.0;25.0;20.0;-2.0;4.0;-22.0;-7.0;6.0;9.0;6.0;12.0;17.0;14.0;6.0;12.0;4.0;9.0;7.0;-4.0;7.0;6.0;6.0;5.0;25.0;37.0;24.0;17.0;32.0;20.0;5.0;7.0;2.0;3.0;-43.0;-27.0;-18.0;-48.0;-26.0;27.0;4.0;-16.0;13.0;17.0;22.0;13.0;10.0;-38.0;-7.0;53.0;29.0;14.0;-9.0;13.0;60.0;1;12:00:00;0;WBA;NEW
STO X TOT 2015-05-09;343 (80%);262 (78%);13;10;55%;45%;3;4;8;6;;;44;40;0;0;6;4;;;1;5;431;337;1;0;4;11;3;4;3;8;5;6;9;16;2;0;0;2015-05-09;-5.0;9.0;3.0;-3.0;-2.0;-23.0;-21.0;-10.0;17.0;42.0;23.0;-1.0;-19.0;-11.0;75.0;35.0;15.0;-46.0;-16.0;-10.0;-12.0;-7.0;2.0;40.0;21.0;11.0;81.0;7.0;5.0;7.0;8.0;-1.0;1.0;41.0;1.0;2.0;42.0;21.0;14.0;2.0;-50.0;7.0;5.0;-64.0;-29.0;100.0;-16.0;-3.0;42.0;34.0;46.0;33.0;20.0;15.0;10.0;5.0;77.0;64.0;39.0;-49.0;-14.0;-12.0;-90.0;-57.0;-33.0;-13.0;-5.0;52.0;4.0;9.0;7.0;5.0;-19.0;37.0;17.0;7.0;5.0;11.0;32.0;65.0;35.0;-29.0;-2.0;-5.0;-25.0;-8.0;77.0;15.0;11.0;17.0;31.0;0.0;3;12:00:00;1;TOT;STO
CRY X MUN 2015-05-09;396 (83%);181 (68%);20;21;63%;37%;5;3;6;7;1;0;63;51;0;0;3;2;1;0;1;4;477;267;;;11;11;4;6;4;4;2;2;13;13;1;0;2;2015-05-09;-3.0;-59.0;-37.0;-25.0;-12.0;-33.0;-64.0;-46.0;-30.0;-26.0;-16.0;-4.0;-84.0;-52.0;-63.0;-40.0;-71.0;-79.0;47.0;9.0;2.0;2.0;-5.0;6.0;-3.0;-5.0;-5.0;-1.0;2.0;-3.0;-4.0;-5.0;-6.0;-6.0;-6.0;-6.0;-4.0;-2.0;-6.0;20.0;-25.0;-21.0;5.0;5.0;21.0;-26.0;16.0;10.0;10.0;5.0;1.0;4.0;12.0;81.0;48.0;8.0;-23.0;4.0;3.0;7.0;-4.0;7.0;6.0;5.0;4.0;4.0;3.0;-16.0;-4.0;2.0;22.0;9.0;-19.0;-5.0;27.0;8.0;-74.0;-37.0;-12.0;-20.0;-12.0;27.0;23.0;15.0;10.0;27.0;16.0;8.0;8.0;-30.0;-1.0;-20.0;1;14:30:00;-1;MUN;CRY
MCI X QPR 2015-05-10;240 (72%);392 (80%);18;20;41%;59%;1;3;4;7;0;3;55;52;0;0;5;3;1;1;5;1;333;492;;;4;18;5;9;3;11;5;5;9;23;1;0;0;2015-05-10;-2.0;-5.0;-5.0;-5.0;-4.0;24.0;16.0;13.0;41.0;23.0;-17.0;3.0;4.0;-7.0;-2.0;4.0;10.0;29.0;21.0;6.0;6.0;6.0;-2.0;-2.0;8.0;9.0;83.0;52.0;35.0;23.0;77.0;43.0;-37.0;18.0;-8.0;5.0;5.0;-1.0;36.0;26.0;-10.0;10.0;5.0;7.0;-16.0;83.0;80.0;47.0;32.0;18.0;16.0;13.0;40.0;26.0;-38.0;-10.0;52.0;-4.0;43.0;54.0;38.0;25.0;92.0;59.0;40.0;21.0;55.0;29.0;100.0;76.0;42.0;28.0;16.0;-28.0;43.0;19.0;14.0;41.0;10.0;29.0;17.0;13.0;11.0;7.0;-17.0;-24.0;-11.0;-3.0;4.0;2.0;4.0;95.0;6;10:30:00;1;QPR;MCI
CHE X LIV 2015-05-10;402 (86%);342 (79%);10;9;53%;47%;3;4;4;6;1;0;57;55;0;0;2;3;;;3;1;468;433;;;9;7;8;1;4;3;6;1;15;8;3;4;1;2015-05-10;1.0;-21.0;-18.0;-10.0;-5.0;-41.0;-27.0;-46.0;-27.0;-15.0;-1.0;-5.0;6.0;10.0;7.0;5.0;4.0;8.0;16.0;10.0;47.0;29.0;-2.0;13.0;8.0;46.0;25.0;16.0;11.0;8.0;3.0;13.0;4.0;-5.0;-4.0;-4.0;-1.0;22.0;3.0;-74.0;0.0;-42.0;-28.0;-45.0;-55.0;21.0;-31.0;-19.0;-12.0;-1.0;-7.0;-3.0;4.0;20.0;5.0;-7.0;85.0;-42.0;-76.0;-47.0;-29.0;-22.0;-56.0;-30.0;-19.0;-12.0;-2.0;51.0;-2.0;-2.0;1.0;1.0;40.0;29.0;18.0;11.0;26.0;13.0;31.0;7.0;-20.0;-18.0;-22.0;-7.0;-4.0;1.0;-5.0;-6.0;-43.0;-20.0;-55.0;5.0;1;13:00:00;0;LIV;CHE
ARS X SWA 2015-05-11;286 (80%);691 (91%);6;11;33%;67%;3;8;1;6;;;51;47;0;0;9;2;;;1;1;359;762;;;2;14;2;6;3;9;6;9;8;23;1;0;1;2015-05-11;2.0;-11.0;-3.0;4.0;9.0;9.0;13.0;11.0;10.0;9.0;-57.0;1.0;-27.0;-12.0;9.0;4.0;5.0;6.0;12.0;10.0;4.0;6.0;7.0;7.0;12.0;5.0;7.0;22.0;18.0;19.0;16.0;24.0;22.0;35.0;17.0;14.0;43.0;29.0;21.0;-1.0;-30.0;5.0;12.0;12.0;12.0;27.0;-20.0;-2.0;21.0;-10.0;6.0;4.0;-5.0;-2.0;1.0;41.0;17.0;23.0;44.0;26.0;16.0;46.0;27.0;14.0;8.0;10.0;53.0;13.0;36.0;47.0;93.0;65.0;40.0;88.0;61.0;76.0;89.0;100.0;-67.0;90.0;93.0;57.0;55.0;31.0;18.0;-70.0;-27.0;46.0;25.0;-33.0;6.0;40.0;0;17:00:00;-1;SWA;ARS
SOU X ASV 2015-05-16;466 (85%);222 (75%);15;14;65%;35%;1;3;3;6;;;50;37;0;0;5;3;;;1;3;547;295;;;6;16;4;4;4;11;3;2;9;18;1;1;1;2015-05-16;1.0;16.0;13.0;2.0;79.0;47.0;100.0;100.0;87.0;89.0;56.0;-10.0;-37.0;-13.0;14.0;4.0;-2.0;5.0;81.0;45.0;30.0;16.0;6.0;12.0;4.0;11.0;9.0;4.0;-2.0;4.0;-27.0;79.0;40.0;6.0;22.0;16.0;-37.0;-17.0;-2.0;4.0;-15.0;10.0;-6.0;4.0;21.0;3.0;61.0;35.0;20.0;11.0;4.0;-1.0;-6.0;-9.0;-36.0;45.0;2.0;62.0;66.0;39.0;4.0;-6.0;-8.0;-12.0;-33.0;-19.0;-21.0;-15.0;-13.0;-8.0;-10.0;-13.0;58.0;27.0;44.0;29.0;10.0;-3.0;-7.0;-3.0;78.0;41.0;23.0;6.0;1.0;-6.0;-11.0;18.0;4.0;41.0;-73.0;-45.0;6;09:45:00;1;ASV;SOU
BUR X STO 2015-05-16;331 (74%);250 (68%);28;16;55%;45%;3;6;6;7;1;0;68;48;0;0;4;3;;;3;1;445;368;;;5;8;5;1;3;4;6;3;11;11;2;1;0;2015-05-16;1.0;-6.0;-13.0;-1.0;1.0;1.0;5.0;4.0;2.0;21.0;73.0;40.0;43.0;25.0;15.0;12.0;43.0;35.0;21.0;7.0;-10.0;-6.0;24.0;-9.0;-45.0;-31.0;-23.0;-13.0;-7.0;-6.0;-3.0;6.0;-3.0;15.0;-2.0;-33.0;-51.0;-43.0;-27.0;-23.0;5.0;-20.0;-24.0;-16.0;-11.0;29.0;8.0;-3.0;-3.0;-2.0;38.0;13.0;10.0;-68.0;-33.0;-25.0;17.0;-17.0;18.0;11.0;9.0;22.0;16.0;5.0;-3.0;-3.0;-25.0;-20.0;-17.0;-13.0;-10.0;-8.0;-5.0;-5.0;3.0;-32.0;-22.0;-15.0;-6.0;-16.0;-12.0;-7.0;-7.0;-6.0;-10.0;-8.0;-6.0;-4.0;-8.0;-8.0;-35.0;0.0;0;12:00:00;0;STO;BUR
QPR X NEW 2015-05-16;219 (65%);194 (62%);26;23;53%;47%;9;1;12;3;;;91;71;0;0;2;6;;;1;1;338;315;;;14;4;5;3;8;4;8;4;22;8;0;2;1;2015-05-16;-5.0;-3.0;-6.0;-1.0;1.0;39.0;21.0;6.0;7.0;7.0;-2.0;-2.0;-42.0;-25.0;-37.0;-33.0;-21.0;-81.0;-54.0;-67.0;-40.0;-25.0;1.0;-16.0;-9.0;-2.0;-1.0;1.0;1.0;5.0;3.0;2.0;1.0;-4.0;-20.0;-6.0;6.0;6.0;-25.0;1.0;-130.0;1.0;20.0;7.0;-13.0;-2.0;-17.0;-13.0;-12.0;23.0;7.0;77.0;43.0;-33.0;-8.0;-12.0;1.0;38.0;11.0;81.0;-93.0;-28.0;-19.0;-10.0;-11.0;5.0;4.0;-24.0;-40.0;31.0;-40.0;-20.0;-11.0;6.0;1.0;2.0;7.0;4.0;-14.0;22.0;24.0;-70.0;-52.0;-40.0;-30.0;21.0;6.0;-21.0;-28.0;-7.0;-17.0;-100.0;2;12:00:00;1;NEW;QPR
SUN X LEI 2015-05-16;172 (59%);190 (63%);21;34;50%;50%;7;5;9;8;1;2;64;77;0;0;3;0;;;0;2;290;304;;;6;5;4;5;0;3;5;8;11;13;1;4;0;2015-05-16;1.0;30.0;78.0;44.0;27.0;12.0;-15.0;-8.0;-9.0;-4.0;-1.0;-5.0;31.0;19.0;17.0;11.0;7.0;83.0;45.0;-35.0;-4.0;-7.0;-1.0;-5.0;-2.0;31.0;18.0;-35.0;-13.0;-12.0;-29.0;-12.0;-4.0;1.0;-2.0;1.0;-25.0;-19.0;-21.0;-5.0;-25.0;-2.0;2.0;-69.0;-39.0;6.0;-32.0;-12.0;-6.0;2.0;2.0;3.0;22.0;14.0;9.0;6.0;8.0;10.0;-4.0;31.0;19.0;22.0;9.0;-9.0;-2.0;7.0;7.0;46.0;6.0;5.0;43.0;86.0;56.0;34.0;41.0;22.0;-20.0;-15.0;27.0;-38.0;-23.0;-13.0;6.0;6.0;41.0;45.0;27.0;16.0;-45.0;17.0;1.0;-30.0;0;12:00:00;0;LEI;SUN
