game;name;slug;shortName;id;national;team_name;team_id;goals;goalAssist;totalTackle;totalPass;totalDuels;minutesPlayed;position;rating;shotsOnTarget;shotsOffTarget;shotsBlocked;totalContest;totalClearance;outfielderBlock;interceptionWon;challengeLost;accuratePass;keyPass;totalCross;totalLongBalls;dispossessed;wasFouled;fouls;saves;punches;runsOut;goodHighClaim;team
HUL X LEI 2016-08-13;Robert Snodgrass;hull-city;R. Snodgrass;9127;False;Hull City;96;1;;3;28 (87%);19 (10);90';F;8.1;2;2;1;3 (2);1;0;0;;28 (87%);2;7 (2);0 (0);3;5;0;;;;;HUL
HUL X LEI 2016-08-13;Curtis Davies;hull-city;C. Davies;10281;False;Hull City;96;;;1;36 (75%);8 (6);90';D;7.8;1;1;0;0 (0);13;2;7;1;36 (75%);0;0 (0);13 (4);0;1;1;;;;;HUL
HUL X LEI 2016-08-13;Ahmed Musa;leicester-city;A. Musa;139502;False;Leicester City;31;;;0;20 (83%);15 (4);90';F;7.4;0;2;0;5 (3);0;0;1;;20 (83%);4;1 (0);1 (1);2;1;4;;;;;LEI
HUL X LEI 2016-08-13;Adama Diomandé;hull-city;A. Diomandé;43247;False;Hull City;96;1;;1;22 (75%);26 (14);90';F;7.4;1;0;1;6 (6);2;0;0;;22 (75%);1;0 (0);1 (1);6;3;1;;;;;HUL
HUL X LEI 2016-08-13;Christian Fuchs;leicester-city;C. Fuchs;1262;False;Leicester City;31;;;3;51 (82%);13 (10);90';D;7.4;1;0;0;0 (0);3;1;1;1;51 (82%);1;0 (0);12 (7);0;0;1;;;;;LEI
HUL X LEI 2016-08-13;Sam Clucas;hull-city;S. Clucas;74440;False;Hull City;96;;;3;47 (92%);14 (8);90';M;7.1;0;0;0;1 (1);4;1;3;4;47 (92%);0;0 (0);6 (5);1;3;1;;;;;HUL
HUL X LEI 2016-08-13;Shinji Okazaki;leicester-city;S. Okazaki;19303;False;Leicester City;31;;;0;4 (57%);5 (3);22';F;7.1;1;1;0;2 (2);0;0;0;;4 (57%);0;0 (0);0 (0);1;1;1;;;;;LEI
HUL X LEI 2016-08-13;Andrew Robertson;hull-city;A. Robertson;262911;False;Hull City;96;;;4;43 (89%);8 (6);90';D;7.0;0;0;0;1 (1);1;0;3;;43 (89%);0;3 (0);6 (3);1;1;1;;;;;HUL
HUL X LEI 2016-08-13;Danny Drinkwater;leicester-city;D. Drinkwater;54330;False;Leicester City;31;;;5;66 (86%);14 (6);90';M;7.0;1;2;0;2 (1);1;0;0;3;66 (86%);1;1 (0);5 (3);2;0;1;;;;;LEI
HUL X LEI 2016-08-13;Jake Livermore;hull-city;J. Livermore;34578;False;Hull City;96;;;2;47 (78%);4 (3);90';D;6.9;0;0;0;0 (0);5;1;2;1;47 (78%);0;0 (0);17 (5);0;0;0;;;;;HUL
HUL X LEI 2016-08-13;Ahmed El-Mohamady;hull-city;A. El-Mohamady;32787;False;Hull City;96;;;1;36 (60%);7 (5);90';D;6.9;0;0;0;0 (0);1;0;3;1;36 (60%);1;4 (0);20 (5);0;0;1;;;;;HUL
HUL X LEI 2016-08-13;Eldin Jakupović;hull-city;E. Jakupović;4387;False;Hull City;96;;;0;12 (38%);0 (0);90';G;6.9;0;0;0;0 (0);0;0;0;;12 (38%);0;0 (0);28 (9);0;0;0;4;0;0 (0);0;HUL
HUL X LEI 2016-08-13;David Meyler;hull-city;D. Meyler;43442;False;Hull City;96;;;1;36 (81%);7 (6);90';M;6.8;0;1;0;0 (0);0;0;0;;36 (81%);0;0 (0);1 (0);0;2;0;;;;;HUL
HUL X LEI 2016-08-13;Demarai Gray;leicester-city;D. Gray;355152;False;Leicester City;31;;;2;16 (76%);7 (3);68';M;6.7;0;1;2;0 (0);0;0;0;;16 (76%);0;3 (0);1 (0);2;1;1;;;;;LEI
HUL X LEI 2016-08-13;Daniel Amartey;leicester-city;D. Amartey;308526;False;Leicester City;31;;;1;14 (100%);4 (1);22';M;6.7;0;0;0;1 (0);0;1;0;2;14 (100%);1;0 (0);1 (1);0;0;0;;;;;LEI
HUL X LEI 2016-08-13;Riyad Mahrez;leicester-city;R. Mahrez;158213;False;Leicester City;31;1;;1;36 (73%);16 (6);90';M;6.7;2;2;1;7 (2);0;0;0;2;36 (73%);1;2 (0);4 (2);1;3;1;;;;;LEI
HUL X LEI 2016-08-13;Abel Hernández;hull-city;A. Hernández;48547;False;Hull City;96;;1;0;10 (71%);12 (2);90';F;6.7;1;2;0;1 (0);1;0;0;2;10 (71%);1;0 (0);0 (0);1;1;1;;;;;HUL
HUL X LEI 2016-08-13;Leonardo Ulloa;leicester-city;L. Ulloa;52691;False;Leicester City;31;;;0;1 (50%);2 (0);7';F;6.5;0;0;0;0 (0);0;0;0;;1 (50%);0;0 (0);0 (0);0;0;1;;;;;LEI
HUL X LEI 2016-08-13;Tom Huddlestone;hull-city;T. Huddlestone;9689;False;Hull City;96;;;4;26 (81%);11 (6);90';M;6.5;0;1;0;0 (0);1;0;0;1;26 (81%);0;0 (0);8 (4);0;1;2;;;;;HUL
HUL X LEI 2016-08-13;Kasper Schmeichel;leicester-city;K. Schmeichel;1076;False;Leicester City;31;;;0;16 (57%);0 (0);90';G;6.5;0;0;0;0 (0);1;0;0;;16 (57%);0;0 (0);22 (10);0;0;0;3;0;2 (2);0;LEI
HUL X LEI 2016-08-13;Andy King;leicester-city;A. King;30530;False;Leicester City;31;;;1;28 (80%);9 (6);68';M;6.4;0;0;0;1 (1);2;0;1;2;28 (80%);0;1 (0);2 (0);0;1;1;;;;;LEI
HUL X LEI 2016-08-13;Danny Simpson;leicester-city;D. Simpson;30502;False;Leicester City;31;;;0;29 (82%);9 (4);83';D;6.2;0;0;0;1 (1);2;0;1;;29 (82%);0;2 (0);5 (1);0;0;3;;;;;LEI
HUL X LEI 2016-08-13;Wes Morgan;leicester-city;W. Morgan;20375;False;Leicester City;31;;;0;26 (60%);5 (2);90';D;6.2;0;0;0;0 (0);2;0;1;;26 (60%);1;0 (0);4 (0);0;0;1;;;;;LEI
HUL X LEI 2016-08-13;Luis Hernández;leicester-city;L. Hernández;260097;False;Leicester City;31;;;0;38 (80%);8 (3);90';D;6.1;0;0;0;0 (0);4;0;4;;38 (80%);0;1 (0);4 (1);1;1;1;;;;;LEI
HUL X LEI 2016-08-13;Jamie Vardy;leicester-city;J. Vardy;173827;False;Leicester City;31;;;1;7 (70%);9 (2);90';F;6.0;0;1;1;1 (0);0;0;0;;7 (70%);2;1 (0);0 (0);1;0;1;;;;;LEI
BUR X SWA 2016-08-13;Leroy Fer;swansea-city;L. Fer;31821;False;Swansea City;74;1;;2;30 (78%);12 (9);90';M;8.2;1;1;0;0 (0);3;1;5;;30 (78%);0;0 (0);4 (3);1;1;1;;;;;SWA
BUR X SWA 2016-08-13;Stephen Kingsley;swansea-city;S. Kingsley;151118;False;Swansea City;74;;;4;27 (79%);7 (5);90';D;7.9;1;1;0;0 (0);8;0;2;;27 (79%);0;2 (0);8 (4);0;0;0;;;;;SWA
BUR X SWA 2016-08-13;Kyle Naughton;swansea-city;K. Naughton;32821;False;Swansea City;74;;;6;35 (77%);15 (11);90';D;7.8;0;0;0;2 (2);4;0;4;1;35 (77%);1;4 (2);6 (4);2;0;0;;;;;SWA
BUR X SWA 2016-08-13;Jefferson Montero;swansea-city;J. Montero;54686;False;Swansea City;74;;;0;3 (75%);4 (3);26';M;7.5;1;0;0;1 (1);1;0;1;;3 (75%);3;4 (3);0 (0);0;2;0;;;;;SWA
BUR X SWA 2016-08-13;Jordi Amat;swansea-city;J. Amat;106273;False;Swansea City;74;;;0;24 (80%);10 (3);90';D;7.4;1;0;0;0 (0);11;0;3;;24 (80%);0;0 (0);8 (4);1;0;3;;;;;SWA
BUR X SWA 2016-08-13;Łukasz Fabiański;swansea-city;Ł. Fabiański;15479;False;Swansea City;74;;;1;14 (66%);2 (2);90';G;7.4;0;0;0;0 (0);2;0;0;;14 (66%);0;0 (0);15 (9);0;0;0;3;2;1 (1);2;SWA
BUR X SWA 2016-08-13;Ben Mee;burnley;B. Mee;137774;False;Burnley;6;;;3;33 (89%);11 (4);90';D;7.3;0;0;0;0 (0);5;0;4;;33 (89%);0;0 (0);11 (8);1;1;0;;;;;BUR
BUR X SWA 2016-08-13;Federico Fernández;swansea-city;F. Fernández;38393;False;Swansea City;74;;;2;25 (78%);11 (7);90';D;7.3;0;1;0;0 (0);12;0;5;1;25 (78%);0;0 (0);3 (3);0;0;2;;;;;SWA
BUR X SWA 2016-08-13;Tom Heaton;burnley;T. Heaton;18122;False;Burnley;6;;;0;24 (55%);0 (0);90';G;7.3;0;0;0;0 (0);0;0;0;;24 (55%);0;0 (0);35 (16);0;0;0;7;0;0 (0);1;BUR
BUR X SWA 2016-08-13;Modou Barrow;swansea-city;M. Barrow;209098;False;Swansea City;74;;;0;14 (82%);9 (5);64';F;7.2;0;0;2;4 (3);1;0;0;1;14 (82%);2;6 (3);1 (0);1;2;0;;;;;SWA
BUR X SWA 2016-08-13;Stephen Ward;burnley;S. Ward;20752;False;Burnley;6;;;5;24 (75%);15 (11);90';D;7.2;0;0;0;2 (1);5;0;1;;24 (75%);0;4 (2);5 (3);0;1;3;;;;;BUR
BUR X SWA 2016-08-13;Fernando Llorente;swansea-city;F. Llorente;11692;False;Swansea City;74;;;0;27 (84%);18 (9);90';F;7.2;4;2;0;0 (0);3;0;0;;27 (84%);0;1 (0);0 (0);3;1;4;;;;;SWA
BUR X SWA 2016-08-13;Matthew Lowton;burnley;M. Lowton;67507;False;Burnley;6;;;1;17 (60%);9 (3);90';D;7.1;0;1;0;0 (0);1;1;3;2;17 (60%);2;5 (2);8 (4);1;0;1;;;;;BUR
