game;name;slug;shortName;id;national;team_name;team_id;goals;goalAssist;totalTackle;totalPass;totalDuels;minutesPlayed;position;rating;shotsOnTarget;shotsOffTarget;shotsBlocked;totalContest;totalClearance;outfielderBlock;interceptionWon;challengeLost;accuratePass;keyPass;totalCross;totalLongBalls;dispossessed;wasFouled;fouls;saves;punches;runsOut;goodHighClaim;team
MUN X TOT 2015-08-08;Chris Smalling;manchester-united;C. Smalling;47741;False;Manchester United;35;;;5;46 (83%);5 (5);90';D;7.8;0;0;0;0 (0);7;1;3;;46 (83%);0;0 (0);11 (3);0;0;0;;;;;MUN
MUN X TOT 2015-08-08;Kyle Walker;tottenham;K. Walker;44614;False;Tottenham;33;;;8;26 (66%);12 (11);90';D;7.7;1;0;0;1 (0);4;1;5;;26 (66%);0;0 (0);11 (2);0;2;0;;;;;TOT
MUN X TOT 2015-08-08;Toby Alderweireld;tottenham;T. Alderweireld;44575;False;Tottenham;33;;;1;58 (82%);8 (4);90';D;7.7;1;0;1;2 (2);7;0;6;1;58 (82%);1;1 (0);19 (8);0;0;2;;;;;TOT
MUN X TOT 2015-08-08;Sergio Romero;manchester-united;S. Romero;25566;False;Manchester United;35;;;0;19 (52%);0 (0);90';G;7.4;0;0;0;0 (0);2;0;0;;19 (52%);0;0 (0);24 (8);0;0;0;4;0;2 (2);0;MUN
MUN X TOT 2015-08-08;Harry Kane;tottenham;H. Kane;108579;False;Tottenham;33;;;1;19 (65%);14 (7);90';F;7.3;0;1;2;6 (3);0;0;0;;19 (65%);1;0 (0);1 (0);2;1;1;;;;;TOT
MUN X TOT 2015-08-08;Christian Eriksen;tottenham;C. Eriksen;105734;False;Tottenham;33;;;2;30 (69%);9 (5);90';M;7.2;2;1;0;2 (0);0;0;1;;30 (69%);4;5 (2);5 (3);2;3;0;;;;;TOT
MUN X TOT 2015-08-08;Matteo Darmian;manchester-united;M. Darmian;19352;False;Manchester United;35;;;3;31 (86%);5 (4);81';D;7.2;0;0;0;0 (0);5;0;0;;31 (86%);1;2 (1);5 (2);1;1;0;;;;;MUN
MUN X TOT 2015-08-08;Michael Carrick;manchester-united;M. Carrick;938;False;Manchester United;35;;;1;30 (96%);4 (3);60';M;7.1;0;0;0;0 (0);0;0;4;;30 (96%);1;0 (0);3 (3);1;2;0;;;;;MUN
MUN X TOT 2015-08-08;Juan Mata;manchester-united;J. Mata;28367;False;Manchester United;35;;;0;36 (83%);8 (3);90';M;7.0;0;1;2;0 (0);2;0;4;1;36 (83%);0;0 (0);3 (3);2;3;1;;;;;MUN
MUN X TOT 2015-08-08;Wayne Rooney;manchester-united;W. Rooney;751;False;Manchester United;35;;;1;29 (82%);7 (3);90';F;7.0;0;2;0;1 (1);1;1;0;;29 (82%);2;1 (0);2 (1);3;0;0;;;;;MUN
